0.7000, 0, 28, 30, 2, 0.003, 0.025, 47.863, -0.121, -4.526, 0.942, -9, -18, 35, 7.567, 13, 130, 0
0.7333, 0, 28, 28, 2, 0.049, 0.04, 61.23, 4.309, -1.982, 0.281, -26, -33, -12, 0.0, 15, 130, 2
0.7834, 0, 28, 30, 2, 0.003, 0.025, 47.863, -0.123, -4.526, 0.943, -11, -19, 25, 7.57, 13, 130, 0
0.8166, 0, 28, 28, 2, 0.049, 0.04, 61.23, 4.311, -1.984, 0.283, -28, -29, -8, 0.0, 15, 130, 2
0.8666, 0, 28, 29, 2, 0.11, 0.101, 62.955, -4.693, -1.924, 0.449, -228, 6, 220, 8.274, 15, 130, 11
0.8833, 0, 28, 30, 2, 0.003, 0.025, 47.863, -0.125, -4.524, 0.942, 0, -14, 24, 7.569, 13, 130, 0
0.9000, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.658, -3.065, 0.257, -1, -43, 5, 0.0, 11, 130, 0
0.9167, 0, 28, 28, 2, 0.049, 0.04, 61.23, 4.311, -1.986, 0.284, -28, -32, -9, 0.0, 15, 130, 2
0.9333, 0, 28, 30, 2, 0.003, 0.025, 47.863, -0.127, -4.523, 0.94, 6, -17, 16, 7.566, 13, 130, 0
0.9500, 0, 28, 29, 2, 0.11, 0.101, 62.955, -4.691, -1.925, 0.449, -244, 4, 208, 8.274, 15, 130, 11
0.9833, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.658, -3.065, 0.257, -6, -39, 8, 0.0, 11, 130, 0
1.0000, 0, 28, 30, 2, 0.003, 0.025, 47.863, -0.127, -4.52, 0.938, 5, -16, 8, 7.568, 13, 130, 0
1.0332, 0, 28, 28, 2, 0.049, 0.04, 61.23, 4.291, -1.969, 0.288, -67, 3, -16, 0.0, 15, 130, 4
1.0500, 0, 28, 29, 2, 0.11, 0.101, 62.955, -4.69, -1.925, 0.449, -271, 0, 187, 8.274, 15, 130, 11
1.0833, 0, 28, 25, 2, 0.003, 0.034, 20.482, 3.657, -3.065, 0.256, -5, -38, 10, 0.0, 11, 130, 0
